STATION_ID,STATION NAME,CTRY,LAT,LON
71008099999,BASSANO AGCM,CA,50.883,-112.45
71009099999,BEISEKER AGCM,CA,51.367,-113.35
71010099999,BELLSHILL AGCM,CA,52.583,-111.467
71011099999,BIG VALLEY AGCM,CA,51.983,-112.8
71012099999,CADOGAN AGCM,CA,52.333,-110.5
71013099999,CRAIGMYLE AGCM,CA,51.767,-112.25
71014099999,DELBURNE AGCM,CA,52.183,-113.183
71015099999,MILK RIVER RIDGE RESEVOIR,CA,49.283,-112.533
71016099999,BULLHORN HEADWATERS,CA,49.15,-113.55
71017099999,STEFANSSON ISLAND  NU,CA,73.75,-105.283
71018099999,RESOLUTE CS,CA,74.717,-94.983
71020099999,YOHIN  NWT,CA,61.233,-123.733
71020599999,WEKWEETI,CA,64.183,-114.083
71021099999,DEADMEN VALLEY  NWT,CA,61.25,-124.467
71022099999,PRINCE RUPERT,CA,54.283,-130.433
81609099999,OIAPOQUE,BR,3.814,-51.863
81615099999,BOA VISTA,BR,2.805,-60.647
81648099999,BARCELOS,BR,-0.983,-62.917
81658099999,SOURE,BR,-0.817,-48.517
81660099999,SALINOPOLIS,BR,-0.617,-47.35
81680099999,BELEM,BR,-1.417,-48.433
81682099999,CASTANHAL,BR,-1.3,-47.95
81685099999,BRAGANCA,BR,-1.05,-46.783
81687099999,TURIACU,BR,-1.667,-45.367
81699099999,PRESIDENTE FIGUEIREDO,BR,-2.056,-60.026
81700099999,RIO URUBU,BR,-2.433,-59.567
81702099999,URUCARA,BR,-2.533,-57.75
81703099999,PARINTINS,BR,-2.639,-56.756
81710099999,CAMETA,BR,-2.25,-49.5
81711099999,TOME-ACU,BR,-2.6,-48.367
81715099999,SAO LUIS,BR,-2.533,-44.217
81717099999,PREGUICAS,BR,-2.593,-42.707
81729099999,PREGUICAS,BR,-3.3,-60.633
81730099999,MANAUS,BR,-3.133,-59.95
81732099999,AUTAZES,BR,-3.583,-59.129
